compra;venta;origen;fecha
3.711;3.719;SUNAT;2023-05-01
3.711;3.719;SUNAT;2023-05-02
3.706;3.715;SUNAT;2023-05-03
3.704;3.709;SUNAT;2023-05-04
3.716;3.719;SUNAT;2023-05-05
3.709;3.717;SUNAT;2023-05-06
3.709;3.717;SUNAT;2023-05-07
3.709;3.717;SUNAT;2023-05-08
3.702;3.71;SUNAT;2023-05-09
3.698;3.702;SUNAT;2023-05-10
3.67;3.678;SUNAT;2023-05-11
3.675;3.683;SUNAT;2023-05-12
3.649;3.659;SUNAT;2023-05-13
3.649;3.659;SUNAT;2023-05-14
3.649;3.659;SUNAT;2023-05-15
3.656;3.667;SUNAT;2023-05-16
3.678;3.683;SUNAT;2023-05-17
3.691;3.697;SUNAT;2023-05-18
3.698;3.702;SUNAT;2023-05-19
3.688;3.696;SUNAT;2023-05-20
3.688;3.696;SUNAT;2023-05-21
3.688;3.696;SUNAT;2023-05-22
3.686;3.695;SUNAT;2023-05-23
3.689;3.695;SUNAT;2023-05-24
3.683;3.69;SUNAT;2023-05-25
3.692;3.698;SUNAT;2023-05-26
3.671;3.675;SUNAT;2023-05-27
3.671;3.675;SUNAT;2023-05-28
3.671;3.675;SUNAT;2023-05-29
3.667;3.68;SUNAT;2023-05-30
3.671;3.677;SUNAT;2023-05-31
